"CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected"
"0.0","0.0","0","false","SOX10 YAP1","1.0","2","C381","false","C381"
"0.0","0.0","0","false","PTPN11 SPRY2","1.0","2","C382","false","C382"
"0.0","0.0","0","false","GINS1 NCAPG2","1.0","2","C383","false","C383"
"0.0","0.0","0","false","EIF2AK4 MTOR","1.0","2","C384","false","C384"
"0.0","0.0","0","false","FLRT1 OSTN","1.0","2","C385","false","C385"
"0.0","0.0","0","false","MAP1B ULK1","1.0","2","C386","false","C386"
"0.0","0.0","0","false","IQGAP1 PAK6","1.0","2","C387","false","C387"
"0.0","0.0","0","false","INTS1 NIPBL","1.0","2","C388","false","C388"
"0.0","0.0","0","false","MYMK MYOD1","1.0","2","C389","false","C389"
"0.0","0.0","0","false","RDH10 STRA6","1.0","2","C390","false","C390"
"0.0","0.0","0","false","AURKA NIN","1.0","2","C391","false","C391"
"0.0","0.0","0","false","ZFY ZPR1","1.0","2","C392","false","C392"
"0.0","0.0","0","false","FOXC1 GLI2","1.0","2","C393","false","C393"
"0.0","0.0","0","false","HNF1B SOX9","1.0","2","C394","false","C394"
"0.0","0.0","0","false","FGF8 FLRT3","1.0","2","C395","false","C395"
"0.0","0.0","0","false","EN1 FGF8","1.0","2","C396","false","C396"
"0.0","0.0","0","false","FGFR3 NPPC","1.0","2","C397","false","C397"
"0.0","0.0","0","false","SORBS2 VCL","1.0","2","C398","false","C398"
"0.0","0.0","0","false","SEMA3A SLIT3","1.0","2","C399","false","C399"
"0.0","0.0","0","false","EXT1 IHH","1.0","2","C400","false","C400"
"0.0","0.0","0","false","APP C9orf72","1.0","2","C401","false","C401"
"0.0","0.0","0","false","COL3A1 DDR1","1.0","2","C402","false","C402"
"0.0","0.0","0","false","BDNF SLC12A5","1.0","2","C403","false","C403"
"0.0","0.0","0","false","BDNF GAP43","1.0","2","C404","false","C404"
"0.0","0.0","0","false","FLRT3 NINJ2","1.0","2","C405","false","C405"
"0.0","0.0","0","false","GIGYF2 RC3H2","1.0","2","C406","false","C406"
"0.0","0.0","0","false","SLC9A6 UBE3A","1.0","2","C407","false","C407"
"0.0","0.0","0","false","DIPK2A PKDCC","1.0","2","C408","false","C408"
"0.0","0.0","0","false","SLC9A6 SLIT2","1.0","2","C409","false","C409"
"0.0","0.0","0","false","APP LRP4","1.0","2","C410","false","C410"
"0.0","0.0","0","false","RARA STRA6","1.0","2","C411","false","C411"
"0.0","0.0","0","false","LRP4 WNT7A","1.0","2","C412","false","C412"
"0.0","0.0","0","false","CDK5 SEMA3A","1.0","2","C413","false","C413"
"0.0","0.0","0","false","IGF2 PLAG1","1.0","2","C414","false","C414"
"0.0","0.0","0","false","CPNE1 MED12","1.0","2","C415","false","C415"
"0.0","0.0","0","false","NACA RC3H2","1.0","2","C416","false","C416"
"0.0","0.0","0","false","IFRD1 SCNN1B","1.0","2","C417","false","C417"
"0.0","0.0","0","false","FOXO3 G6PC","1.0","2","C418","false","C418"
"0.0","0.0","0","false","RC3H2 TRIM28","1.0","2","C419","false","C419"
