"CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected"
"0.0","0.0","0","false","ACVR1C ACVR2B ADAM15 ADARB1 ADM ADRA1A AGT AKAP13 ALCAM ALKBH1 AMH ANXA1 ANXA6 APBA1 APBA2 APOA5 APOD APP AR AREG ARID2 ARID5B ARX ASPM ATF2 ATF5 ATM ATN1 ATRX AURKA AUTS2 BCL2 BCL9 BDNF BMP10 BMP4 BMPR1A BMPR1B BRCA2 C9orf72 CCL11 CCM2 CCN3 CD81 CD9 CDH4 CDK5 CDKN1A CELA1 CER1 CFLAR CGA CHEK1 CHRNA1 CHRND CLIC4 COBL COL27A1 COL3A1 COMP COPS2 CPNE1 CPQ CSF1 CTC1 CTNNB1 CTR9 CXADR CYFIP1 CYFIP2 CYP19A1 DAG1 DCLK1 DCX DDR1 DDR2 DIPK2A DLL1 DMD DUOX2 DVL1 ECM1 EDN1 EDN2 EDN3 EDNRA EFNA5 EHMT2 EIF2AK4 EIF4H EMX1 EN1 EP300 EPB41L5 ERBB4 ERCC1 ERCC2 ERCC6 EREG ESR1 EVC EXT1 EYS EZH2 FGF1 FGF10 FGF7 FGF8 FGF9 FGFR2 FGFR3 FKBP8 FLRT1 FLRT3 FMN1 FOXC1 FOXC2 FOXL2 FOXO3 FSHR FXN FZD7 FZD9 G6PC GAP43 GAS1 GAS2 GATA3 GATA4 GATA6 GIGYF2 GINS1 GINS4 GLI2 GLI3 GNAS GRHL2 H3-3A H3-3B HDAC6 HDGFL2 HEG1 HELT HESX1 HEY2 HLX HNF1B HOXA11 HOXA5 HOXD13 HSP90AA1 HSP90AB1 IER3IP1 IFRD1 IFT80 IGF1 IGF2 IGFBP1 IHH IL7 IMPACT INTS1 IQGAP1 IST1 ITGA4 ITGB1 JARID2 KAT2A KDM5B KDM6A KIF26B KLF2 KLF5 KLK6 KMT2D KPNA1 LAMB2 LARGE1 LEP LEPR LGR6 LHX1 LHX2 LIMK1 LPAR3 LRP4 LZTS2 MAGI2 MAP1B MAP2K4 MAPK11 MATN1 MDK MED1 MED12 MESP1 MEX3C MMP13 MST1 MSTN MSX2 MTM1 MTOR MYMK MYMX MYOD1 NACA NBN NCAPG2 NDEL1 NDN NDRG4 NIN NINJ2 NIPBL NKX2-5 NLGN3 NLGN4X NOTCH1 NOTCH2 NPPC NRN1 NRP1 NRP2 OSTN PAK6 PALB2 PCDH15 PDGFRB PDLIM5 PKDCC PLAG1 PLEC PLEKHA1 PLG PLXNA1 PLXNA3 POU4F2 POU4F3 PPP1R13L PPP3CA PPP3CB PRKAR1A PRKCZ PRLR PRMT2 PSAP PSAPL1 PTEN PTGFRN PTK7 PTN PTPN11 PTPN12 PTX3 PYGO2 RAD51B RAG2 RAPH1 RARA RARB RARG RBBP6 RC3H2 RDH10 RMI1 RND2 RNF6 RSPO2 RTF1 RUNX1 RYK S1PR1 SALL1 SALL4 SAV1 SBDS SCNN1B SELENOM SELENON SEMA3A SEMA3F SEMA5A SEMA5B SEMA7A SFRP1 SFRP2 SGCA SH3GL2 SHH SLC12A5 SLC1A2 SLC25A25 SLC4A10 SLC9A6 SLIT1 SLIT2 SLIT3 SLITRK1 SLITRK6 SMAD1 SMAD2 SMAD3 SMAD4 SMO SMPD3 SORBS2 SOS1 SOX10 SOX15 SOX2 SOX9 SPART SPG11 SPRY1 SPRY2 SPTBN2 SRC SRF SSNA1 ST8SIA2 STC1 STIL STK11 STK3 STK4 STRA6 TAF10 TAF8 TAL2 TARBP2 TBCE TBCE-2 TBL1XR1 TBX2 TBX5 TEC TGFB1 TGFB2 TGFBR2 TGFBR3 THBS3 TMED2 TMEM108 TMEM182 TMEM38B TNFAIP6 TNKS2 TNN TNR TNS2 TP53 TRIM28 TSKU TTC8 TXK TYMS UBE3A ULK1 ULK2 USP9X VCL WASF1 WDR11 WDR48 WDTC1 WNT10B WNT11 WNT2 WNT3A WNT5A WNT7A WNT7B WWTR1 XRCC2 YAP1 ZFP36L1 ZFY ZMIZ1 ZMPSTE24 ZPR1","8.574","381","C355265","false","C355265"
"0.0","0.0","0","false","ALKBH1 COBL IGF2 PLAG1","2.0","4","C355234","false","C355234"
"0.0","0.0","0","false","EFNA5 EIF4H LIMK1 NRP1 NRP2 PAK6 PLXNA1 PLXNA3 RND2 SEMA3A SEMA3F SEMA5A SEMA5B SEMA7A SLIT1 SLIT2 SLIT3 ST8SIA2","4.17","18","C355199","false","C355199"
"0.0","0.0","0","false","CHRNA1 CHRND IFRD1 MYMK MYMX MYOD1 SCNN1B TMEM182","3.0","8","C355231","false","C355231"
"0.0","0.0","0","false","DAG1 DMD GAS2 LARGE1 MTM1 PLEC SELENOM SELENON SGCA SLC12A5 SLC1A2 SLC4A10","3.585","12","C355223","false","C355223"
"0.0","0.0","0","false","EZH2 HLX HOXA11 HOXA5","2.0","4","C355210","false","C355210"
"0.0","0.0","0","false","CER1 DVL1 FZD7 FZD9 PTK7 RSPO2 RYK SFRP1 SFRP2 WNT10B WNT11 WNT2 WNT3A WNT5A WNT7A WNT7B","4.0","16","C355195","false","C355195"
"0.0","0.0","0","false","FOXO3 G6PC IGFBP1","1.585","3","C355229","false","C355229"
"0.0","0.0","0","false","EYS FMN1 IFT80 PCDH15 POU4F3 TTC8","2.585","6","C355258","false","C355258"
"0.0","0.0","0","false","ALCAM COMP ECM1 ITGA4 ITGB1 LAMB2 THBS3 TNN TNR","3.17","9","C355205","false","C355205"
