"__mclCluster","name","selected"
"19","TMEM38B","false","TMEM38B"
"31","SLC4A10","false","SLC4A10"
"20","SELENOM","false","SELENOM"
"1","RDH10","false","RDH10"
"13","RAPH1","false","RAPH1"
"2","ZFP36L1","false","ZFP36L1"
"32","PSAPL1","false","PSAPL1"
"3","RND2","false","RND2"
"8","SORBS2","false","SORBS2"
"8","PDLIM5","false","PDLIM5"
"2","SLC25A25","false","SLC25A25"
"33","WDR11","false","WDR11"
"3","ST8SIA2","false","ST8SIA2"
"2","NDRG4","false","NDRG4"
"2","RBBP6","false","RBBP6"
"21","MYMX","false","MYMX"
"21","TMEM182","false","TMEM182"
"21","MYMK","false","MYMK"
"14","MST1","false","MST1"
"1","MEX3C","false","MEX3C"
"2","NACA","false","NACA"
"14","STK3","false","STK3"
"34","S1PR1","false","S1PR1"
"35","KIF26B","false","KIF26B"
"1","PLEKHA1","false","PLEKHA1"
"15","ZFY","false","ZFY"
"8","TNS2","false","TNS2"
"5","TNR","false","TNR"
"5","TNN","false","TNN"
"22","SPART","false","SPART"
"36","INTS1","false","INTS1"
"37","IFRD1","false","IFRD1"
"22","IST1","false","IST1"
"19","TAL2","false","TAL2"
"19","HELT","false","HELT"
"2","HDGFL2","false","HDGFL2"
"2","RC3H2","false","RC3H2"
"23","TXK","false","TXK"
"13","TMEM108","false","TMEM108"
"38","GAS1","false","GAS1"
"16","POU4F3","false","POU4F3"
"14","STK4","false","STK4"
"2","G6PC","false","G6PC"
"8","FMN1","false","FMN1"
"39","NINJ2","false","NINJ2"
"24","OSTN","false","OSTN"
"22","SSNA1","false","SSNA1"
"1","HESX1","false","HESX1"
"1","STRA6","false","STRA6"
"24","FLRT1","false","FLRT1"
"1","RARG","false","RARG"
"2","HLX","false","HLX"
"2","HOXA5","false","HOXA5"
"16","TTC8","false","TTC8"
"16","EYS","false","EYS"
"1","EXT1","false","EXT1"
"1","IFT80","false","IFT80"
"1","EVC","false","EVC"
"2","PRLR","false","PRLR"
"2","GRHL2","false","GRHL2"
"2","POU4F2","false","POU4F2"
"2","IGFBP1","false","IGFBP1"
"2","TAF8","false","TAF8"
"39","FLRT3","false","FLRT3"
"4","PTPN12","false","PTPN12"
"9","EPB41L5","false","EPB41L5"
"40","EIF4H","false","EIF4H"
"25","IMPACT","false","IMPACT"
"1","JARID2","false","JARID2"
"2","TAF10","false","TAF10"
"3","SEMA5B","false","SEMA5B"
"1","EN1","false","EN1"
"3","SEMA3F","false","SEMA3F"
"20","SELENON","false","SELENON"
"38","GAS2","false","GAS2"
"20","MTM1","false","MTM1"
"17","SLC9A6","false","SLC9A6"
"17","GIGYF2","false","GIGYF2"
"17","PKDCC","false","PKDCC"
"17","DIPK2A","false","DIPK2A"
"1","EMX1","false","EMX1"
"10","DMD","false","DMD"
"3","NRP2","false","NRP2"
"10","LARGE1","false","LARGE1"
"10","SGCA","false","SGCA"
"10","DAG1","false","DAG1"
"4","CYFIP1","false","CYFIP1"
"1","CXADR","false","CXADR"
"26","RTF1","false","RTF1"
"26","CTR9","false","CTR9"
"1","HNF1B","false","HNF1B"
"1","RYK","false","RYK"
"1","PTK7","false","PTK7"
"1","PRMT2","false","PRMT2"
"1","PRKAR1A","false","PRKAR1A"
"1","PRKCZ","false","PRKCZ"
"16","PCDH15","false","PCDH15"
"1","LZTS2","false","LZTS2"
"1","LGR6","false","LGR6"
"1","SOX15","false","SOX15"
"1","FZD9","false","FZD9"
"1","RARB","false","RARB"
"1","PLAG1","false","PLAG1"
"14","SAV1","false","SAV1"
