#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	PXDN	9606.ENSP00000478255	9606.ENSP00000252804	0	0	0	0	0	0	0	0.496	0.496
ABCB1	SLC47A1	9606.ENSP00000478255	9606.ENSP00000270570	0	0	0	0	0.112	0.045	0	0.613	0.644
ABCB1	ALB	9606.ENSP00000478255	9606.ENSP00000295897	0	0	0	0	0.074	0	0	0.553	0.569
ABCB1	ALDH1A1	9606.ENSP00000478255	9606.ENSP00000297785	0	0	0	0	0.093	0.063	0	0.559	0.592
ABCB1	GSTM1	9606.ENSP00000478255	9606.ENSP00000311469	0	0	0	0	0.067	0	0	0.665	0.674
ABCB1	SLC47A2	9606.ENSP00000478255	9606.ENSP00000326671	0	0	0	0	0.105	0.045	0	0.567	0.597
ABCB1	GSTA1	9606.ENSP00000478255	9606.ENSP00000335620	0	0	0	0	0.064	0	0	0.568	0.579
ABCB1	PXDNL	9606.ENSP00000478255	9606.ENSP00000348645	0	0	0	0	0	0	0	0.496	0.496
ABCB1	GSTM3	9606.ENSP00000478255	9606.ENSP00000354357	0	0	0	0	0.074	0	0	0.487	0.505
ABCB1	PTGS2	9606.ENSP00000478255	9606.ENSP00000356438	0	0	0	0	0	0	0	0.410	0.410
ABCB1	PRDX4	9606.ENSP00000478255	9606.ENSP00000368646	0.044	0	0	0	0.056	0.071	0	0.377	0.408
ABCB1	GSTP1	9606.ENSP00000478255	9606.ENSP00000381607	0	0	0	0	0.074	0	0	0.581	0.595
ABCB1	SLC22A5	9606.ENSP00000478255	9606.ENSP00000402760	0	0.002	0	0	0.057	0.070	0	0.491	0.515
ABCB1	SLC15A2	9606.ENSP00000478255	9606.ENSP00000417085	0	0	0	0	0.069	0.065	0	0.442	0.471
ABCB1	SOD2-2	9606.ENSP00000478255	9606.ENSP00000442920	0	0	0	0	0	0.287	0	0.295	0.475
ABCB1	SOD2	9606.ENSP00000478255	9606.ENSP00000446252	0	0	0	0	0	0.287	0	0.302	0.481
ABCB1	ABCG2	9606.ENSP00000478255	9606.ENSP00000498246	0	0.001	0	0.561	0.093	0.100	0	0.492	0.549
ABCB6	SLC15A2	9606.ENSP00000265316	9606.ENSP00000417085	0	0	0	0	0	0	0	0.400	0.400
ABCG2	ATP7B	9606.ENSP00000498246	9606.ENSP00000242839	0.042	0	0	0	0.071	0.071	0	0.373	0.412
ABCG2	PXDN	9606.ENSP00000498246	9606.ENSP00000252804	0	0	0	0	0	0	0	0.535	0.535
ABCG2	SOD1	9606.ENSP00000498246	9606.ENSP00000270142	0	0	0	0	0.061	0	0	0.491	0.502
ABCG2	SLC47A1	9606.ENSP00000498246	9606.ENSP00000270570	0.042	0	0	0	0.165	0	0	0.715	0.752
ABCG2	ALB	9606.ENSP00000498246	9606.ENSP00000295897	0	0	0	0	0.049	0	0	0.806	0.807
ABCG2	ALDH1A1	9606.ENSP00000498246	9606.ENSP00000297785	0	0	0	0	0.077	0	0	0.728	0.738
ABCG2	SLC47A2	9606.ENSP00000498246	9606.ENSP00000326671	0.042	0	0	0	0.148	0	0	0.685	0.720
ABCG2	PDZK1	9606.ENSP00000498246	9606.ENSP00000342143	0	0.001	0	0	0.059	0.090	0	0.697	0.718
ABCG2	ATP7A	9606.ENSP00000498246	9606.ENSP00000345728	0.042	0	0	0	0.071	0.071	0	0.559	0.586
ABCG2	PXDNL	9606.ENSP00000498246	9606.ENSP00000348645	0	0	0	0	0	0	0	0.536	0.536
ABCG2	SLC17A3	9606.ENSP00000498246	9606.ENSP00000380250	0	0	0	0	0.043	0	0	0.661	0.661
ABCG2	GSTP1	9606.ENSP00000498246	9606.ENSP00000381607	0	0	0	0	0	0	0	0.608	0.608
ABCG2	SLC22A5	9606.ENSP00000498246	9606.ENSP00000402760	0	0	0	0	0.047	0.094	0	0.589	0.615
ABCG2	SLC15A2	9606.ENSP00000498246	9606.ENSP00000417085	0	0	0	0	0.048	0.066	0	0.535	0.551
ADH4	GSTM2	9606.ENSP00000424630	9606.ENSP00000241337	0	0	0	0	0.067	0.070	0.650	0.081	0.683
ADH4	ALDH1A1	9606.ENSP00000424630	9606.ENSP00000297785	0.048	0	0	0	0.109	0	0.706	0.821	0.949
ADH4	GSTM1	9606.ENSP00000424630	9606.ENSP00000311469	0	0	0	0	0.067	0.070	0.650	0.531	0.838
ADH4	GSTA1	9606.ENSP00000424630	9606.ENSP00000335620	0	0	0	0	0.088	0.070	0.650	0.390	0.794
ADH4	GSTO2	9606.ENSP00000424630	9606.ENSP00000345023	0	0	0	0	0	0	0.650	0.091	0.668
ADH4	AKR1B10	9606.ENSP00000424630	9606.ENSP00000352584	0	0	0	0	0.100	0.076	0	0.389	0.448
ADH4	GSTM3	9606.ENSP00000424630	9606.ENSP00000354357	0	0	0	0	0.067	0.070	0.650	0.153	0.708
ADH4	MGST3	9606.ENSP00000424630	9606.ENSP00000356864	0	0	0	0	0	0	0.650	0.115	0.677
ADH4	GSTO1	9606.ENSP00000424630	9606.ENSP00000358727	0	0	0	0	0.048	0	0.650	0.115	0.679
ADH4	ESD	9606.ENSP00000424630	9606.ENSP00000367992	0.099	0.228	0.210	0	0.610	0.071	0.429	0.257	0.891
ADH4	MGST1	9606.ENSP00000424630	9606.ENSP00000379512	0	0	0	0	0.059	0	0.650	0.091	0.674
ADH4	GSTP1	9606.ENSP00000424630	9606.ENSP00000381607	0	0	0	0	0.064	0.096	0.650	0.147	0.713
ADH4	RDH12	9606.ENSP00000424630	9606.ENSP00000449079	0	0	0	0	0.074	0.046	0.177	0.279	0.405
ADH4	MGST2	9606.ENSP00000424630	9606.ENSP00000482639	0	0	0	0	0	0	0.650	0	0.650
ADH5	GSR	9606.ENSP00000296412	9606.ENSP00000221130	0.045	0	0	0	0.069	0	0	0.418	0.438
ADH5	GSTM2	9606.ENSP00000296412	9606.ENSP00000241337	0	0	0	0	0.068	0.070	0.650	0.112	0.695
ADH5	NOS3	9606.ENSP00000296412	9606.ENSP00000297494	0	0	0	0	0.067	0	0	0.420	0.436
ADH5	GLRX	9606.ENSP00000296412	9606.ENSP00000369314	0	0	0	0	0.094	0	0	0.417	0.449
ADH5	AKR1A1	9606.ENSP00000296412	9606.ENSP00000361140	0	0	0	0	0.118	0.076	0	0.480	0.539
ADH5	TXN	9606.ENSP00000296412	9606.ENSP00000363641	0	0	0	0	0.062	0	0	0.592	0.601
ADH5	GSTO2	9606.ENSP00000296412	9606.ENSP00000345023	0	0	0	0	0	0	0.650	0.181	0.701
ADH5	MGST1	9606.ENSP00000296412	9606.ENSP00000379512	0	0	0	0	0.087	0	0.650	0.167	0.710
ADH5	MGST3	9606.ENSP00000296412	9606.ENSP00000356864	0	0	0	0	0.067	0	0.650	0.188	0.711
ADH5	GSTA1	9606.ENSP00000296412	9606.ENSP00000335620	0	0	0	0	0.056	0.070	0.650	0.180	0.714
ADH5	MGST2	9606.ENSP00000296412	9606.ENSP00000482639	0	0	0	0	0.050	0	0.650	0.215	0.716
ADH5	GSTM3	9606.ENSP00000296412	9606.ENSP00000354357	0	0	0	0	0.073	0.070	0.650	0.171	0.716
ADH5	GSTP1	9606.ENSP00000296412	9606.ENSP00000381607	0	0	0	0	0.082	0.096	0.650	0.208	0.739
ADH5	GSTM1	9606.ENSP00000296412	9606.ENSP00000311469	0	0	0	0	0.069	0.070	0.650	0.264	0.747
ADH5	GSTO1	9606.ENSP00000296412	9606.ENSP00000358727	0	0	0	0	0.064	0	0.650	0.324	0.759
ADH5	ALDH1A1	9606.ENSP00000296412	9606.ENSP00000297785	0.048	0.001	0	0	0.114	0	0.706	0.653	0.902
ADH5	ESD	9606.ENSP00000296412	9606.ENSP00000367992	0.099	0.150	0.267	0	0.633	0.438	0.940	0.847	0.998
AKR1A1	TXNDC17	9606.ENSP00000361140	9606.ENSP00000250101	0	0	0	0	0.075	0	0	0.394	0.416
AKR1A1	PRDX1	9606.ENSP00000361140	9606.ENSP00000262746	0	0	0	0	0.305	0.071	0	0.243	0.469
AKR1A1	SOD1	9606.ENSP00000361140	9606.ENSP00000270142	0	0	0	0	0.263	0.188	0	0.192	0.475
AKR1A1	AKR7A3	9606.ENSP00000361140	9606.ENSP00000355377	0.054	0	0	0	0.228	0	0.183	0.604	0.732
AKR1B10	ALDH1A1	9606.ENSP00000352584	9606.ENSP00000297785	0	0	0	0	0.117	0.045	0.137	0.317	0.437
AKR1B10	NQO1	9606.ENSP00000352584	9606.ENSP00000319788	0.057	0	0	0	0.257	0	0	0.515	0.630
AKR1B10	GPX4	9606.ENSP00000352584	9606.ENSP00000346103	0.042	0	0	0	0.129	0	0	0.405	0.460
AKR1B10	SOD2-2	9606.ENSP00000352584	9606.ENSP00000442920	0	0	0	0	0.142	0.059	0	0.331	0.413
AKR1B10	SOD2	9606.ENSP00000352584	9606.ENSP00000446252	0	0	0	0	0.144	0.059	0	0.330	0.414
AKR1B10	GPX6	9606.ENSP00000352584	9606.ENSP00000354581	0.042	0	0	0	0.129	0	0	0.356	0.416
AKR1B10	GPX3	9606.ENSP00000352584	9606.ENSP00000373477	0.042	0	0	0	0.137	0	0	0.353	0.418
AKR1B10	GPX8	9606.ENSP00000352584	9606.ENSP00000423822	0.042	0	0	0	0.129	0	0	0.372	0.430
AKR1B10	GPX7	9606.ENSP00000352584	9606.ENSP00000354677	0.042	0	0	0	0.129	0	0	0.375	0.433
AKR1B10	RDH11	9606.ENSP00000352584	9606.ENSP00000370750	0	0	0	0	0.104	0.045	0.098	0.353	0.433
AKR1B10	SRXN1	9606.ENSP00000352584	9606.ENSP00000371388	0	0	0	0	0.168	0	0	0.402	0.481
AKR1B10	TXNRD1	9606.ENSP00000352584	9606.ENSP00000434516	0	0	0	0	0.168	0.046	0	0.442	0.519
AKR1B10	GPX2	9606.ENSP00000352584	9606.ENSP00000374265	0.042	0	0	0	0.481	0	0	0.352	0.650
AKR1B10	AKR7A3	9606.ENSP00000352584	9606.ENSP00000355377	0.054	0	0	0	0.209	0	0.183	0.552	0.690
AKR7A3	NQO1	9606.ENSP00000355377	9606.ENSP00000319788	0.077	0	0	0	0.049	0	0	0.515	0.537
AKR7A3	GSTP1	9606.ENSP00000355377	9606.ENSP00000381607	0	0	0	0	0.074	0	0	0.437	0.456
ALB	GSR	9606.ENSP00000295897	9606.ENSP00000221130	0	0	0	0	0	0	0	0.589	0.589
ALB	MPO	9606.ENSP00000295897	9606.ENSP00000225275	0	0	0	0	0.074	0.162	0	0.867	0.887
ALB	ATP7B	9606.ENSP00000295897	9606.ENSP00000242839	0	0	0	0	0	0	0	0.400	0.400
ALB	HBA2	9606.ENSP00000295897	9606.ENSP00000251595	0	0	0	0	0	0.292	0	0.550	0.668
ALB	APOE	9606.ENSP00000295897	9606.ENSP00000252486	0	0	0	0	0.129	0.071	0	0.947	0.953
ALB	PXDN	9606.ENSP00000295897	9606.ENSP00000252804	0	0	0	0	0.076	0	0	0.936	0.938
ALB	HBZ	9606.ENSP00000295897	9606.ENSP00000252951	0	0	0	0	0.336	0	0	0.201	0.447
ALB	LPO	9606.ENSP00000295897	9606.ENSP00000262290	0	0	0	0	0.087	0	0	0.690	0.705
ALB	PRDX1	9606.ENSP00000295897	9606.ENSP00000262746	0	0	0	0	0.058	0	0	0.553	0.560
ALB	AMBP	9606.ENSP00000295897	9606.ENSP00000265132	0	0	0	0	0.787	0.310	0	0.814	0.970
ALB	SOD1	9606.ENSP00000295897	9606.ENSP00000270142	0	0	0	0	0.050	0.183	0	0.554	0.623
ALB	HBE1	9606.ENSP00000295897	9606.ENSP00000292896	0	0	0	0	0.320	0	0	0.251	0.469
ALB	CYGB	9606.ENSP00000295897	9606.ENSP00000293230	0	0	0	0	0	0	0	0.666	0.666
ALB	FABP1	9606.ENSP00000295897	9606.ENSP00000295834	0	0	0	0	0.477	0	0	0.590	0.776
ALB	PRDX2	9606.ENSP00000295897	9606.ENSP00000301522	0	0	0	0	0.044	0	0	0.401	0.403
ALB	ATP7A	9606.ENSP00000295897	9606.ENSP00000345728	0	0	0	0	0	0	0	0.403	0.403
ALB	GSTM1	9606.ENSP00000295897	9606.ENSP00000311469	0	0	0	0	0	0	0	0.411	0.410
ALB	HBG1	9606.ENSP00000295897	9606.ENSP00000327431	0	0	0	0	0.248	0	0	0.250	0.412
ALB	DUOX2	9606.ENSP00000295897	9606.ENSP00000373691	0	0	0	0	0	0	0	0.419	0.419
ALB	GPX4	9606.ENSP00000295897	9606.ENSP00000346103	0	0	0	0	0	0	0	0.425	0.425
ALB	ALDH1A1	9606.ENSP00000295897	9606.ENSP00000297785	0	0	0	0	0.062	0.095	0	0.399	0.445
ALB	DUOX1	9606.ENSP00000295897	9606.ENSP00000317997	0	0	0	0	0	0	0	0.448	0.448
ALB	PRDX4	9606.ENSP00000295897	9606.ENSP00000368646	0	0	0	0	0.065	0	0	0.439	0.453
ALB	SOD2-2	9606.ENSP00000295897	9606.ENSP00000442920	0	0	0	0	0	0	0	0.497	0.497
ALB	SOD2	9606.ENSP00000295897	9606.ENSP00000446252	0	0	0	0	0	0	0	0.521	0.521
ALB	TPO	9606.ENSP00000295897	9606.ENSP00000329869	0	0	0	0	0.074	0	0	0.506	0.523
ALB	NQO1	9606.ENSP00000295897	9606.ENSP00000319788	0	0	0	0	0.062	0	0	0.519	0.529
ALB	HBA1	9606.ENSP00000295897	9606.ENSP00000322421	0	0	0	0	0.074	0	0	0.515	0.531
ALB	NFE2L2	9606.ENSP00000295897	9606.ENSP00000380252	0	0	0	0	0	0	0	0.590	0.590
ALB	PARK7	9606.ENSP00000295897	9606.ENSP00000340278	0	0	0	0	0	0	0	0.597	0.597
ALB	APOM	9606.ENSP00000295897	9606.ENSP00000365081	0	0	0	0	0.261	0	0	0.480	0.599
