"CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected"
"0.0","0.0","0","false","ABCB6 ABCG2 AKR1A1 AKR7A3 ALDH1A1 AMBP APOA4 APOM DUOX1 FABP1 FANCC GSTP1 LPO LTC4S MARC1 MARC2 MPO MT3 MT4 NXN PDZK1 PRXL2A PRXL2C PTGES PTGS1 RDH11 RDH12 S100A9 SESN1 SESN2 SLC15A2 SLC17A3 SLC22A18 SLC22A5 SLC30A10 SLC47A1 SLC47A2 TP53INP1 TPO TXNDC17 TXNL1","5.358","41","C392803","false","C392803"
"0.0","0.0","0","false","ABCB6 SLC15A2 SLC22A18 SLC22A5 SLC47A1 SLC47A2","2.585","6","C392704","false","C392704"
"0.0","0.0","0","false","SESN1 SESN2 TP53INP1","1.585","3","C392705","false","C392705"
"0.0","0.0","0","false","NXN TXNDC17 TXNL1","1.585","3","C392706","false","C392706"
"0.0","0.0","0","false","LTC4S PTGES PTGS1","1.585","3","C392707","false","C392707"
"0.0","0.0","0","false","ALDH1A1 RDH11 RDH12","1.585","3","C392708","false","C392708"
"0.0","0.0","0","false","ABCG2 PDZK1 SLC17A3","1.585","3","C392709","false","C392709"
"0.0","0.0","0","false","AKR1A1 AKR7A3","1.0","2","C392710","false","C392710"
"0.0","0.0","0","false","MARC1 MARC2","1.0","2","C392711","false","C392711"
"0.0","0.0","0","false","PRXL2A PRXL2C","1.0","2","C392712","false","C392712"
"0.0","0.0","0","false","FANCC GSTP1","1.0","2","C392713","false","C392713"
"0.0","0.0","0","false","MT3 MT4","1.0","2","C392714","false","C392714"
"0.0","0.0","0","false","SLC30A10 TPO","1.0","2","C392715","false","C392715"
"0.0","0.0","0","false","MPO S100A9","1.0","2","C392716","false","C392716"
"0.0","0.0","0","false","APOA4 APOM","1.0","2","C392717","false","C392717"
"0.0","0.0","0","false","DUOX1 LPO","1.0","2","C392718","false","C392718"
"0.0","0.0","0","false","AMBP FABP1","1.0","2","C392719","false","C392719"
