#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAD11	UBXN7	9606.ENSP00000264990	9606.ENSP00000296328	0	0	0	0	0	0.994	0	0	0.994
ACAD11	NSFL1C	9606.ENSP00000264990	9606.ENSP00000418529	0	0	0	0	0	0.994	0	0	0.994
ACBD5	VAPA	9606.ENSP00000365049	9606.ENSP00000345656	0	0	0	0	0	0.623	0	0	0.623
ACBD5	VAPB	9606.ENSP00000365049	9606.ENSP00000417175	0	0	0	0	0	0.673	0	0	0.673
ACTA1	PFN1	9606.ENSP00000355645	9606.ENSP00000225655	0	0	0	0	0	0.914	0	0	0.914
ACTA1	VASP	9606.ENSP00000355645	9606.ENSP00000245932	0	0	0	0	0	0.900	0	0	0.900
ACTA1	ACTR10	9606.ENSP00000355645	9606.ENSP00000254286	0	0	0	0.697	0	0.402	0	0	0.402
ACTA1	CAPZA1	9606.ENSP00000355645	9606.ENSP00000263168	0	0	0	0	0	0.910	0	0	0.910
ACTA1	NAA80	9606.ENSP00000355645	9606.ENSP00000346927	0	0	0	0	0	0.900	0	0	0.900
ACTA1	DCTN2	9606.ENSP00000355645	9606.ENSP00000408910	0	0	0	0	0	0.406	0	0	0.406
ACTA1	ACTB	9606.ENSP00000355645	9606.ENSP00000494750	0	0	0	0.986	0	0.900	0	0	0.900
ACTA1	ACTG1	9606.ENSP00000355645	9606.ENSP00000458162	0	0	0	0.986	0	0.918	0	0	0.918
ACTA1	CAPZB	9606.ENSP00000355645	9606.ENSP00000401010	0	0	0	0	0	0.923	0	0	0.923
ACTA1	FLNA	9606.ENSP00000355645	9606.ENSP00000358866	0	0	0	0	0	0.900	0	0	0.900
ACTB	CFTR	9606.ENSP00000494750	9606.ENSP00000003084	0	0	0	0	0	0.520	0	0	0.520
ACTB	DCTN6	9606.ENSP00000494750	9606.ENSP00000221114	0	0	0	0	0	0.851	0	0	0.851
ACTB	PFN1	9606.ENSP00000494750	9606.ENSP00000225655	0	0	0	0	0	0.972	0	0	0.972
ACTB	ACTR10	9606.ENSP00000494750	9606.ENSP00000254286	0	0	0	0.701	0	0.946	0	0	0.946
ACTB	DYNC1LI2	9606.ENSP00000494750	9606.ENSP00000258198	0	0	0	0	0	0.800	0	0	0.800
ACTB	DCTN3	9606.ENSP00000494750	9606.ENSP00000259632	0	0	0	0	0	0.817	0	0	0.817
ACTB	CAPZA1	9606.ENSP00000494750	9606.ENSP00000263168	0	0	0	0	0	0.924	0	0	0.924
ACTB	EGFR	9606.ENSP00000494750	9606.ENSP00000275493	0	0	0	0	0	0.402	0	0	0.402
ACTB	ACTR1B	9606.ENSP00000494750	9606.ENSP00000289228	0	0	0	0.956	0	0.519	0	0	0.519
ACTB	DCTN5	9606.ENSP00000494750	9606.ENSP00000300087	0	0	0	0	0	0.873	0	0	0.873
ACTB	CAV1	9606.ENSP00000494750	9606.ENSP00000339191	0	0	0	0	0	0.469	0	0	0.469
ACTB	MAPT	9606.ENSP00000494750	9606.ENSP00000340820	0	0	0	0	0	0.635	0	0	0.635
ACTB	NAA80	9606.ENSP00000494750	9606.ENSP00000346927	0	0	0	0	0	0.939	0	0	0.939
ACTB	DYNC1H1	9606.ENSP00000494750	9606.ENSP00000348965	0	0	0	0	0	0.920	0	0	0.920
ACTB	DYNLRB1	9606.ENSP00000494750	9606.ENSP00000349679	0	0	0	0	0	0.800	0	0	0.800
ACTB	DCTN1	9606.ENSP00000494750	9606.ENSP00000354791	0	0	0	0	0	0.865	0	0	0.865
ACTB	PRKN	9606.ENSP00000494750	9606.ENSP00000355865	0	0	0	0	0	0.484	0	0	0.484
ACTB	ACTR1A	9606.ENSP00000494750	9606.ENSP00000358921	0	0	0	0.956	0	0.936	0	0	0.936
